featureid	s69	s70	s71	s75	s76	s77
ENSG00000145192	0	0	0	0	1	0
ENSG00000145194	516	266	274	562	224	377
ENSG00000145198	349	126	195	1299	571	898
ENSG00000145214	994	440	467	1358	585	834
ENSG00000145216	2855	1402	1612	3408	1408	2112
ENSG00000145217	141	50	58	76	24	54
ENSG00000145220	3042	1522	1633	2964	1223	1748
ENSG00000145241	553	320	319	707	282	386
ENSG00000145242	1	0	0	0	0	0
ENSG00000145244	2	0	3	3	4	2
ENSG00000145246	205	89	113	166	60	100
ENSG00000145247	1604	771	875	1744	715	1059
ENSG00000145248	2	0	1	2	0	2
ENSG00000145283	0	0	0	0	0	0
ENSG00000145284	1069	496	581	905	427	659
ENSG00000145287	330	160	182	349	151	241
ENSG00000145293	1893	940	1134	1610	730	1165
ENSG00000145309	0	0	0	0	0	0
ENSG00000145321	0	0	0	0	0	0
ENSG00000145331	245	115	133	272	104	151
ENSG00000145332	778	399	428	800	317	488
ENSG00000145335	22	8	17	29	9	28
ENSG00000145337	456	45	138	154	89	331
ENSG00000145348	380	200	215	365	169	219
ENSG00000145349	354	151	198	615	295	454
ENSG00000145354	527	286	356	634	289	456
ENSG00000145358	0	0	0	1	1	0
ENSG00000145362	42	30	19	32	17	29
ENSG00000145365	340	194	217	421	214	258
ENSG00000145375	630	311	296	642	252	405
ENSG00000145384	0	0	0	0	0	0
ENSG00000145386	3873	2087	2355	3456	1556	2190
ENSG00000145388	1074	600	651	1239	501	665
ENSG00000145390	333	181	215	323	141	190
ENSG00000145391	1169	574	610	944	450	593
ENSG00000145414	794	409	409	774	345	462
ENSG00000145416	113	46	70	87	46	50
ENSG00000145423	0	0	0	0	0	0
ENSG00000145425	28127	14076	16002	32531	12762	16356
ENSG00000145428	0	0	0	0	0	0
ENSG00000145431	11	6	5	0	3	1
ENSG00000145439	890	478	532	743	273	443
ENSG00000145451	0	0	0	0	0	1
ENSG00000145476	519	244	331	507	219	313
ENSG00000145491	97	36	52	129	50	83
ENSG00000145494	2611	1294	1384	3001	1124	1734
ENSG00000145495	6633	3424	3956	7777	3482	4735
ENSG00000145506	2810	1189	1347	1851	772	1225
ENSG00000145526	0	0	0	1	0	0
ENSG00000145536	1	3	1	1	0	0
ENSG00000145545	981	468	573	664	306	441
ENSG00000145555	4	1	2	1	0	1
ENSG00000145569	238	120	146	168	83	125
ENSG00000145592	15995	7679	8745	17193	7279	10775
ENSG00000145604	2577	1320	1445	1500	655	1007
ENSG00000145623	2	0	2	0	0	1
ENSG00000145626	3	1	3	1	0	3
ENSG00000145632	5	2	1	1	1	0
ENSG00000145642	0	0	0	0	0	0
ENSG00000145649	356	165	306	538	218	423
ENSG00000145675	2130	1135	1284	1301	565	871
ENSG00000145681	0	0	0	0	0	0
ENSG00000145685	139	55	93	149	48	86
ENSG00000145687	2644	1343	1498	1673	803	1079
ENSG00000145692	0	0	0	0	0	0
ENSG00000145700	8	5	5	5	1	4
ENSG00000145703	2021	1011	1328	2022	850	1409
ENSG00000145708	2	0	1	0	0	0
ENSG00000145715	920	467	533	1066	458	659
ENSG00000145721	0	0	0	0	0	0
ENSG00000145723	103	80	64	96	58	61
ENSG00000145725	1912	1010	1139	1795	816	1125
ENSG00000145730	257	149	152	298	108	181
ENSG00000145734	1989	1053	1241	2124	768	1189
ENSG00000145736	370	146	206	300	122	182
ENSG00000145740	1367	649	764	1467	618	908
ENSG00000145741	12774	6419	7316	13362	5908	7991
ENSG00000145743	348	161	185	334	146	234
ENSG00000145757	11	4	14	10	6	5
ENSG00000145777	90	50	72	134	53	88
ENSG00000145779	1411	714	888	1252	610	834
ENSG00000145780	655	373	398	521	226	355
ENSG00000145781	459	232	296	450	188	286
ENSG00000145782	1060	593	649	1205	553	731
ENSG00000145794	1	0	0	1	1	0
ENSG00000145808	164	99	83	205	87	109
ENSG00000145817	686	383	447	815	408	551
ENSG00000145819	618	263	340	547	235	338
ENSG00000145824	0	0	0	0	0	0
ENSG00000145826	0	0	0	0	0	0
ENSG00000145832	3	1	3	1	0	0
ENSG00000145833	6186	3056	3627	6208	2716	3666
ENSG00000145835	0	0	0	0	0	0
ENSG00000145839	0	0	0	0	0	0
ENSG00000145850	2	0	0	1	0	1
ENSG00000145860	1972	1043	1149	931	359	621
ENSG00000145861	11	3	4	7	4	4
ENSG00000145863	1	0	0	0	0	0
ENSG00000145864	168	92	100	191	83	115
ENSG00000145868	1018	532	586	1027	412	611
ENSG00000145879	0	0	1	0	0	0
ENSG00000145882	649	298	388	467	184	282
ENSG00000145888	3	1	0	0	0	0
ENSG00000145901	1771	788	899	2316	1010	1657
ENSG00000145907	9572	4829	5576	8593	3870	5387
ENSG00000145908	2	2	1	4	0	1
ENSG00000145911	275	88	129	2300	961	1647
ENSG00000145912	3716	1736	1987	3650	1468	2209
ENSG00000145916	1187	573	634	1362	613	856
ENSG00000145919	474	244	291	499	206	259
ENSG00000145920	0	0	0	1	1	0
ENSG00000145934	0	0	0	0	1	2
ENSG00000145936	126	56	58	182	90	141
ENSG00000145945	0	0	1	0	0	0
ENSG00000145949	10	8	8	5	4	8
ENSG00000145975	1	0	0	1	0	0
ENSG00000145979	899	464	539	1120	515	718
ENSG00000145982	472	219	252	472	183	287
ENSG00000145990	562	249	270	685	299	449
ENSG00000145996	703	347	414	816	336	479
ENSG00000146001	0	1	0	0	0	0
ENSG00000146005	3	1	1	7	3	1
ENSG00000146006	2	2	1	3	2	0
ENSG00000146007	2960	1529	1736	3044	1345	1938
ENSG00000146013	5	1	6	5	1	5
ENSG00000146021	153	78	84	114	54	62
ENSG00000146038	4	3	2	5	2	0
ENSG00000146039	0	0	0	0	0	0
ENSG00000146047	0	0	0	0	0	0
ENSG00000146049	0	2	0	2	0	0
ENSG00000146054	28	15	13	25	7	10
ENSG00000146063	2844	1309	1507	2954	1238	1878
ENSG00000146066	1378	607	702	1396	594	1008
ENSG00000146067	2006	902	951	1920	768	1033
ENSG00000146070	0	0	0	0	0	0
ENSG00000146072	489	285	267	300	120	200
ENSG00000146083	4618	2156	2405	6329	3058	4878
ENSG00000146085	745	372	446	600	239	346
ENSG00000146090	45	20	16	43	18	29
ENSG00000146094	729	285	338	675	254	403
ENSG00000146109	1757	834	929	1922	830	1219
ENSG00000146112	4194	1960	2429	9024	4027	6259
ENSG00000146122	220	77	94	109	33	77
ENSG00000146143	1064	496	640	1181	471	616
ENSG00000146147	0	0	0	0	0	0
ENSG00000146151	0	0	0	0	0	0
ENSG00000146166	0	0	0	0	1	0
ENSG00000146192	0	0	2	0	0	2
ENSG00000146197	5	2	2	10	3	2
ENSG00000146205	9	3	1	4	4	6
ENSG00000146215	0	1	0	1	0	2
ENSG00000146216	6	1	2	9	2	5
ENSG00000146221	36	16	20	63	27	44
ENSG00000146223	8403	4239	4639	8122	3526	5121
ENSG00000146232	279	118	175	1027	371	615
ENSG00000146233	9	3	4	2	1	3
ENSG00000146242	149	58	74	288	117	201
ENSG00000146243	283	129	161	203	98	114
ENSG00000146247	2518	1415	1562	2499	1110	1519
ENSG00000146250	3	1	0	6	2	6
ENSG00000146263	1599	843	884	1451	644	879
ENSG00000146267	119	52	87	84	37	62
ENSG00000146276	1	0	0	0	1	0
ENSG00000146278	185	93	122	306	154	209
ENSG00000146281	1840	931	1077	1394	563	856
ENSG00000146282	751	372	435	830	318	421
ENSG00000146285	0	2	0	0	0	0
ENSG00000146350	192	101	121	183	87	107
ENSG00000146352	0	0	0	0	0	0
ENSG00000146360	0	0	0	0	0	0
ENSG00000146373	0	0	0	0	0	0
ENSG00000146374	0	0	0	0	0	0
ENSG00000146376	1	0	2	0	0	2
ENSG00000146378	0	0	0	0	0	0
ENSG00000146383	0	0	0	0	0	0
ENSG00000146385	0	0	0	0	0	0
ENSG00000146386	1282	618	812	1829	738	1159
ENSG00000146399	0	0	0	0	0	0
ENSG00000146409	324	166	206	271	110	156
ENSG00000146410	746	383	466	673	275	438
ENSG00000146411	3	0	3	3	2	10
ENSG00000146414	1098	578	628	957	408	574
ENSG00000146416	317	155	168	481	188	261
ENSG00000146425	312	181	207	517	213	341
ENSG00000146426	54	25	38	63	22	29
ENSG00000146433	888	438	548	1105	459	651
ENSG00000146453	15	6	7	5	2	3
ENSG00000146457	3656	1898	2207	3306	1500	2116
ENSG00000146463	2178	1051	1251	2229	949	1294
ENSG00000146469	0	0	0	0	0	0
ENSG00000146476	838	463	548	780	359	513
ENSG00000146477	1	0	0	1	0	0
ENSG00000146521	3	2	5	1	1	1
ENSG00000146530	299	166	150	234	72	110
ENSG00000146535	2179	1033	1174	1686	748	1196
ENSG00000146540	1913	851	973	1831	749	1137
ENSG00000146555	1	3	5	3	1	4
ENSG00000146556	433	194	266	518	206	256
ENSG00000146574	2443	1171	1426	2580	1154	1483
ENSG00000146576	2503	1211	1353	3044	1246	2012
ENSG00000146587	1480	814	880	2130	911	1226
ENSG00000146592	9	4	2	32	19	16
ENSG00000146618	0	0	0	0	0	0
ENSG00000146648	0	0	0	3	1	2
ENSG00000146666	0	0	0	0	0	0
ENSG00000146670	6777	3337	3799	7164	2990	4410
ENSG00000146674	1	0	0	2	2	0
ENSG00000146676	1930	1003	1162	2957	1281	1679
ENSG00000146677	21	17	20	18	12	20
ENSG00000146678	0	0	0	0	0	0
ENSG00000146700	55	27	27	34	16	21
ENSG00000146701	7618	3703	3974	7177	3102	5031
ENSG00000146707	215	74	96	214	84	128
ENSG00000146722	45	24	20	43	16	14
ENSG00000146729	1502	812	887	1380	595	835
ENSG00000146731	11666	5917	6725	12554	5134	7233
ENSG00000146733	648	349	377	593	294	376
ENSG00000146755	1	0	0	0	1	0
ENSG00000146757	587	313	363	561	261	341
ENSG00000146776	119	74	54	105	48	72
ENSG00000146802	576	296	323	712	280	438
ENSG00000146809	0	0	0	0	0	0
ENSG00000146826	623	261	342	1064	461	739
ENSG00000146828	1203	576	630	701	306	401
ENSG00000146830	2987	1406	1474	3290	1473	1803
ENSG00000146833	692	384	416	661	294	447
ENSG00000146834	2386	1054	1250	2502	1051	1659
ENSG00000146839	0	0	0	0	0	0
ENSG00000146842	1452	757	880	1762	893	1329
ENSG00000146856	14	8	15	29	17	19
ENSG00000146857	0	0	0	0	0	0
ENSG00000146858	574	254	255	516	234	349
ENSG00000146859	514	212	245	492	207	348
ENSG00000146872	1233	671	784	1430	607	804
ENSG00000146904	237	109	191	461	196	358
ENSG00000146909	2367	1170	1326	2293	959	1377
ENSG00000146910	14	9	2	9	4	3
ENSG00000146918	4579	2307	2688	5563	2369	3360
ENSG00000146926	0	0	0	0	0	1
ENSG00000146938	6	3	7	8	4	6
ENSG00000146950	0	0	0	0	0	0
ENSG00000146955	0	1	0	1	0	1
ENSG00000146963	3062	1690	1790	3155	1450	2026
ENSG00000146966	0	0	0	1	0	1
ENSG00000147003	10	7	6	9	2	1
ENSG00000147010	1853	834	1114	1724	707	1158
ENSG00000147027	0	0	0	0	0	0
ENSG00000147036	1	0	0	1	1	1
ENSG00000147041	1	0	0	1	0	0
ENSG00000147044	251	124	139	194	92	126
ENSG00000147050	629	303	368	899	416	557
ENSG00000147059	19	9	10	15	5	14
ENSG00000147065	25550	12431	14323	27387	12082	19474
ENSG00000147081	0	0	0	0	0	0
ENSG00000147082	22	11	12	24	10	14
ENSG00000147099	397	195	230	391	182	253
ENSG00000147100	32	10	19	33	8	21
ENSG00000147113	0	0	1	0	0	1
ENSG00000147117	12	8	8	11	3	5
ENSG00000147118	487	234	322	739	295	374
ENSG00000147119	185	98	78	216	80	175
ENSG00000147121	345	149	185	278	119	161
ENSG00000147123	1909	930	1015	2171	868	1292
ENSG00000147124	420	182	251	384	157	236
ENSG00000147127	2	2	4	2	2	2
ENSG00000147130	2282	1082	1172	812	379	504
ENSG00000147133	1864	976	1193	2229	962	1328
ENSG00000147138	924	462	543	1229	572	833
ENSG00000147140	17356	8427	9213	18196	8082	12329
ENSG00000147144	500	271	252	588	252	371
ENSG00000147145	17	11	17	15	7	10
ENSG00000147155	2033	955	1099	2176	873	1488
ENSG00000147160	0	0	0	0	0	0
ENSG00000147162	6150	2938	3429	8139	3561	4625
ENSG00000147164	1169	517	615	1133	550	837
ENSG00000147166	42	22	19	69	25	32
ENSG00000147168	7380	3554	4068	11359	4774	7256
ENSG00000147174	55	26	41	124	39	56
ENSG00000147180	491	271	282	639	302	353
ENSG00000147183	0	0	0	0	0	0
ENSG00000147202	520	246	301	591	242	329
ENSG00000147206	124	54	43	109	44	73
ENSG00000147223	0	0	0	0	0	0
ENSG00000147224	3382	1675	1950	3400	1454	2071
ENSG00000147231	547	305	324	515	278	329
ENSG00000147234	68	25	32	34	12	26
ENSG00000147246	0	0	0	0	0	0
ENSG00000147251	644	352	407	578	216	373
ENSG00000147255	1	0	2	1	0	2
ENSG00000147256	0	0	0	1	0	0
ENSG00000147257	60	13	29	33	19	25
ENSG00000147262	0	0	0	0	0	0
ENSG00000147274	12125	6067	6849	12815	5309	7669
ENSG00000147316	1040	527	654	1258	527	747
ENSG00000147324	2764	1391	1544	1716	711	1076
ENSG00000147364	1393	687	737	1280	553	801
ENSG00000147378	0	0	0	0	0	0
ENSG00000147381	0	0	0	1	0	0
ENSG00000147383	723	363	394	693	298	438
ENSG00000147394	67	47	45	45	26	43
ENSG00000147400	631	286	326	604	266	331
ENSG00000147403	25495	12515	13616	27730	11547	16262
ENSG00000147408	7	9	8	16	8	17
ENSG00000147416	7527	3707	4175	5996	2643	3498
ENSG00000147419	1714	835	957	1554	640	927
ENSG00000147421	323	172	186	547	248	316
ENSG00000147432	0	0	0	0	0	0
ENSG00000147434	4	1	4	24	7	10
ENSG00000147437	56	12	24	97	35	33
ENSG00000147439	813	370	457	1326	555	855
ENSG00000147443	1581	734	849	2147	928	1385
ENSG00000147454	3108	1503	1675	2288	1003	1378
ENSG00000147457	3032	1393	1730	4804	2061	3032
ENSG00000147459	411	217	266	482	192	350
ENSG00000147465	5	8	3	23	6	8
ENSG00000147471	2370	1208	1272	2323	1020	1551
ENSG00000147475	754	334	417	506	227	338
ENSG00000147481	0	0	0	0	0	0
ENSG00000147485	1	1	0	1	0	0
ENSG00000147488	1	1	1	2	1	2
ENSG00000147509	0	0	0	1	0	1
ENSG00000147526	6246	3166	3764	8527	3734	5455
ENSG00000147533	1290	608	709	1474	629	961
ENSG00000147535	866	431	481	1440	628	1025
ENSG00000147536	1564	760	872	1823	803	1201
ENSG00000147548	2900	1499	1692	2746	1135	1644
ENSG00000147570	0	0	0	2	0	1
ENSG00000147571	0	0	0	0	1	0
ENSG00000147573	0	0	0	5	1	2
ENSG00000147576	25	6	9	21	7	14
ENSG00000147586	679	324	358	822	303	447
ENSG00000147588	0	0	0	0	0	0
ENSG00000147592	107	48	72	105	43	92
ENSG00000147596	0	0	0	0	0	0
ENSG00000147601	1068	569	597	1182	515	779
ENSG00000147604	24162	12102	12861	27238	11189	15479
ENSG00000147606	1	2	1	6	5	3
ENSG00000147613	0	0	0	0	0	0
ENSG00000147614	0	0	0	0	1	0
ENSG00000147642	39	17	20	17	7	16
ENSG00000147647	2	2	1	7	5	5
ENSG00000147649	4862	2442	2801	4435	1873	2622
ENSG00000147650	829	441	501	1922	732	1090
ENSG00000147654	732	338	405	634	274	434
ENSG00000147655	0	2	1	0	0	0
ENSG00000147669	1409	718	786	1631	677	899
ENSG00000147676	0	0	0	0	0	1
ENSG00000147677	6818	3391	3690	7716	3188	4429
ENSG00000147679	841	465	526	858	375	467
ENSG00000147684	2882	1311	1568	3263	1281	2044
ENSG00000147687	552	262	298	537	218	353
ENSG00000147689	2	0	3	4	1	2
ENSG00000147697	0	1	0	0	0	0
ENSG00000147724	0	0	0	0	0	0
ENSG00000147753	0	0	0	0	0	0
ENSG00000147761	0	0	0	0	0	0
ENSG00000147789	710	371	365	746	305	428
ENSG00000147799	19	7	11	22	6	14
ENSG00000147804	292	138	141	269	124	176
ENSG00000147813	2292	1055	1097	2101	926	1207
ENSG00000147852	771	502	454	837	420	548
ENSG00000147853	823	456	498	876	360	538
ENSG00000147854	2023	1090	1246	1948	827	1130
ENSG00000147862	2	0	1	0	3	0
ENSG00000147869	0	0	0	0	0	0
ENSG00000147872	270	123	142	395	167	237
ENSG00000147873	0	0	0	0	0	0
ENSG00000147874	2555	1315	1587	2525	1023	1558
ENSG00000147883	0	0	0	0	0	0
ENSG00000147885	0	0	0	0	0	0
ENSG00000147889	0	0	0	0	0	0
ENSG00000147894	224	120	130	114	54	86
ENSG00000147896	0	0	0	0	0	0
ENSG00000147905	772	370	416	802	329	426
ENSG00000147912	404	223	243	550	214	340
ENSG00000147955	4237	1970	2212	3186	1385	2286
ENSG00000147996	796	499	525	969	381	446
ENSG00000148019	2163	942	1211	1903	801	1109
ENSG00000148053	0	0	0	0	0	0
ENSG00000148057	30	21	33	38	7	26
ENSG00000148082	7	2	10	8	4	4
ENSG00000148090	232	76	97	204	96	125
ENSG00000148110	1987	989	1088	1687	723	1113
ENSG00000148120	139	68	76	146	63	78
ENSG00000148123	2	0	0	0	1	1
ENSG00000148136	0	0	0	0	0	0
ENSG00000148143	412	206	223	298	131	197
ENSG00000148153	996	503	543	968	463	660
ENSG00000148154	430	211	225	470	230	344
ENSG00000148156	0	1	1	1	0	0
ENSG00000148158	490	222	266	479	206	322
ENSG00000148175	397	227	259	421	188	243
ENSG00000148180	396	232	196	376	154	236
ENSG00000148187	1200	585	555	1164	477	651
ENSG00000148200	321	172	142	294	113	141
ENSG00000148204	4	5	7	12	8	13
ENSG00000148215	0	0	0	0	0	0
ENSG00000148218	1199	617	645	839	406	569
ENSG00000148219	122	63	77	119	44	70
ENSG00000148225	80	33	37	75	27	45
ENSG00000148229	5671	2777	2940	5467	2440	3480
ENSG00000148248	8582	4104	4548	10793	4805	7745
ENSG00000148288	41	23	15	27	14	26
ENSG00000148290	804	394	458	799	321	449
ENSG00000148291	853	428	431	845	334	545
ENSG00000148296	2997	1473	1637	2303	990	1382
ENSG00000148297	2294	1032	1163	1917	845	1258
ENSG00000148300	1611	782	897	1477	624	905
ENSG00000148303	32930	16305	17446	34139	14586	20992
ENSG00000148308	2029	933	1082	1983	907	1393
ENSG00000148331	1603	747	823	1502	630	958
ENSG00000148334	2344	1115	1175	2039	819	1340
ENSG00000148335	1379	677	777	1432	571	926
ENSG00000148337	3650	1786	1944	3326	1481	2331
ENSG00000148339	1775	860	986	1872	770	1190
ENSG00000148341	2739	1177	1318	2238	943	1484
ENSG00000148343	1152	509	557	764	283	449
ENSG00000148344	17	13	13	14	8	9
ENSG00000148346	0	0	0	0	0	0
ENSG00000148356	580	269	304	508	220	262
ENSG00000148357	0	0	0	2	1	2
ENSG00000148358	1501	783	832	2272	971	1270
ENSG00000148362	1253	576	617	1049	390	606
ENSG00000148377	0	0	0	0	0	0
ENSG00000148384	1031	485	551	663	251	388
ENSG00000148386	0	0	0	0	0	0
ENSG00000148396	5032	2341	2668	6314	2734	3791
ENSG00000148399	1097	545	550	939	389	548
ENSG00000148400	3863	1693	1947	4292	1935	3146
ENSG00000148408	0	0	0	1	0	1
ENSG00000148411	21	16	18	23	12	15
ENSG00000148426	234	93	92	247	113	164
ENSG00000148429	607	314	366	567	243	352
ENSG00000148444	824	433	506	1015	356	563
ENSG00000148450	199	80	90	175	74	119
ENSG00000148459	875	455	490	837	347	510
ENSG00000148468	178	81	106	146	61	90
ENSG00000148481	497	245	327	557	229	303
ENSG00000148482	0	0	0	0	0	0
ENSG00000148483	5	5	0	10	3	8
ENSG00000148484	2526	1278	1392	2416	1153	1665
ENSG00000148488	14	6	5	9	4	4
ENSG00000148498	1510	705	806	1445	600	918
ENSG00000148513	0	0	0	0	0	0
ENSG00000148516	1714	862	967	1954	889	1187
ENSG00000148541	6	0	2	1	1	0
ENSG00000148572	471	227	245	585	280	399
ENSG00000148584	0	0	0	0	0	0
ENSG00000148600	1	1	0	0	0	0
ENSG00000148602	0	0	0	0	0	0
ENSG00000148604	0	0	0	0	0	0
ENSG00000148606	1767	834	1048	1596	692	892
ENSG00000148634	664	321	406	802	338	466
ENSG00000148655	0	0	0	0	0	0
ENSG00000148660	1954	886	1046	1168	530	748
ENSG00000148671	0	0	0	0	0	0
ENSG00000148672	5255	2619	2987	5242	2269	3426
ENSG00000148677	1	0	0	0	0	0
ENSG00000148680	3	1	3	5	2	2
ENSG00000148688	959	495	543	1092	490	597
ENSG00000148690	467	260	278	468	208	250
ENSG00000148700	2158	1068	1396	1279	576	854
ENSG00000148702	3	2	0	0	0	1
ENSG00000148704	0	0	0	0	0	0
ENSG00000148719	1830	868	985	2150	1033	1463
ENSG00000148730	5180	2747	3084	5771	2472	3784
ENSG00000148734	1	1	1	2	1	2
ENSG00000148735	2	2	2	3	0	2
ENSG00000148737	455	223	229	366	197	281
ENSG00000148773	12227	6189	7089	22125	9174	12458
ENSG00000148795	1	0	0	1	0	0
ENSG00000148798	673	362	385	510	230	346
ENSG00000148803	154	66	76	178	78	107
ENSG00000148814	179	99	92	131	53	81
ENSG00000148824	1634	768	806	1978	807	1123
ENSG00000148826	0	0	0	1	0	0
ENSG00000148832	15	5	6	17	5	9
ENSG00000148834	2593	1265	1441	3429	1393	1972
ENSG00000148835	661	353	372	750	281	484
ENSG00000148840	4469	1962	2267	2908	1229	1878
ENSG00000148841	707	343	403	1530	712	1087
ENSG00000148842	253	113	124	195	105	121
ENSG00000148843	3204	1425	1735	3124	1357	1825
ENSG00000148848	0	0	0	0	1	0
ENSG00000148908	856	412	508	966	423	568
ENSG00000148925	746	335	397	805	356	504
ENSG00000148926	2	0	0	5	0	1
ENSG00000148935	287	149	141	214	83	117
ENSG00000148942	0	0	0	0	0	0
ENSG00000148943	605	342	370	728	342	472
ENSG00000148948	0	0	0	1	2	0
ENSG00000148950	224	118	144	241	127	150
ENSG00000148965	0	0	0	0	0	1
ENSG00000148985	970	452	469	789	326	532
ENSG00000149016	1035	468	501	758	321	453
ENSG00000149021	0	0	0	1	0	0
ENSG00000149043	0	0	0	0	0	0
ENSG00000149050	0	0	0	0	0	0
ENSG00000149054	0	4	1	3	2	1
ENSG00000149084	993	578	603	1240	522	785
ENSG00000149089	1097	524	589	1157	476	698
ENSG00000149090	0	0	0	0	0	0
ENSG00000149091	4860	2113	2394	5520	2267	3384
ENSG00000149100	7425	3872	4510	8354	3561	4952
ENSG00000149115	1030	480	539	577	266	332
ENSG00000149124	0	0	0	0	0	0
ENSG00000149131	0	0	0	0	0	1
ENSG00000149133	0	0	0	0	0	0
ENSG00000149136	17391	8468	9589	17809	7614	11019
ENSG00000149150	431	215	237	882	417	582
ENSG00000149177	155	63	90	139	48	102
ENSG00000149179	985	488	531	1005	422	679
ENSG00000149182	2894	1338	1403	2555	1083	1640
ENSG00000149187	5140	2501	2637	6684	2760	4170
ENSG00000149196	1054	492	537	1046	396	548
ENSG00000149201	8	3	4	15	2	3
ENSG00000149212	683	350	371	591	269	438
ENSG00000149218	3971	1972	2054	1733	759	1033
ENSG00000149231	760	378	480	881	360	502
ENSG00000149243	114	27	44	68	32	50
ENSG00000149256	0	1	0	0	0	0
ENSG00000149257	481	197	219	464	171	298
ENSG00000149260	360	164	205	294	142	194
ENSG00000149262	982	460	544	1306	528	778
ENSG00000149269	1842	892	1012	2114	848	1229
ENSG00000149273	31494	15285	17616	35553	14509	21507
ENSG00000149289	5	1	3	8	1	9
ENSG00000149292	0	0	0	0	0	0
ENSG00000149294	468	243	283	382	155	250
ENSG00000149295	0	0	0	0	0	0
ENSG00000149300	0	0	0	0	0	1
ENSG00000149305	0	0	0	0	0	0
ENSG00000149308	857	422	483	1180	480	735
ENSG00000149311	1437	722	891	2117	789	1144
ENSG00000149313	1753	859	991	1403	589	836
ENSG00000149328	2177	936	988	1606	709	992
ENSG00000149346	432	197	244	325	137	185
ENSG00000149357	1811	828	963	1613	714	1160
ENSG00000149380	8	2	3	3	1	2
ENSG00000149403	4	2	2	3	0	3
ENSG00000149418	0	0	0	0	0	0
ENSG00000149428	9163	4511	4608	8783	3871	6030
ENSG00000149435	1	0	0	0	1	0
ENSG00000149443	0	0	0	0	0	0
ENSG00000149451	133	57	71	214	86	143
ENSG00000149452	0	0	0	0	0	0
ENSG00000149474	992	502	558	721	242	458
ENSG00000149476	1027	459	563	935	415	592
ENSG00000149480	9610	4413	4986	10105	4152	6557
ENSG00000149483	1171	523	639	1249	560	723
ENSG00000149485	3027	1459	1591	2487	1091	1603
ENSG00000149488	3	1	1	0	1	0
ENSG00000149489	34	23	31	38	21	25
ENSG00000149499	1795	842	946	2231	865	1281
ENSG00000149503	5327	2677	2752	5147	2360	3411
ENSG00000149506	4	1	3	4	1	2
ENSG00000149507	0	0	0	0	0	0
ENSG00000149516	0	0	0	0	0	0
ENSG00000149527	11	2	6	35	15	9
ENSG00000149531	62	38	51	79	28	55
ENSG00000149532	5969	3017	3234	6598	2864	4122
ENSG00000149534	2	1	0	0	0	0
ENSG00000149541	1589	760	834	2106	781	1395
ENSG00000149547	3773	1791	1954	3771	1574	2439
ENSG00000149548	433	226	259	266	122	180
ENSG00000149554	2790	1440	1638	3179	1408	1983
ENSG00000149557	1	3	1	2	0	1
ENSG00000149564	24	6	8	16	12	18
ENSG00000149571	1	3	5	2	1	1
ENSG00000149573	7	1	6	6	2	5
ENSG00000149575	0	0	0	1	0	0
ENSG00000149577	851	432	406	793	357	494
ENSG00000149582	517	233	286	263	112	181
ENSG00000149591	151	66	79	238	92	99
ENSG00000149596	1	1	0	0	0	1
ENSG00000149599	34	15	21	34	20	23
ENSG00000149600	772	372	438	679	282	467
ENSG00000149609	8	1	5	6	3	4
ENSG00000149633	0	0	0	0	0	0
ENSG00000149634	18	14	14	22	12	15
ENSG00000149635	1	0	0	5	4	3
ENSG00000149636	1326	655	759	1111	416	548
ENSG00000149639	905	377	451	548	213	358
ENSG00000149646	30	10	13	16	13	18
ENSG00000149651	0	0	0	0	0	0
ENSG00000149654	30	9	16	37	17	17
ENSG00000149656	0	0	0	0	0	1
ENSG00000149657	1838	838	1014	1559	684	1092
ENSG00000149658	2513	1177	1362	2276	979	1493
ENSG00000149679	976	488	567	730	352	547
ENSG00000149716	838	410	480	814	333	468
ENSG00000149735	0	0	0	0	0	0
ENSG00000149742	0	0	0	0	0	0
ENSG00000149743	565	222	259	470	198	295
ENSG00000149761	921	434	446	874	359	550
ENSG00000149781	5229	2414	2643	7504	3266	5076
ENSG00000149782	854	392	416	545	209	295
ENSG00000149792	2629	1223	1351	2208	960	1424
ENSG00000149798	160	97	69	144	70	100
ENSG00000149806	7697	3566	3892	8138	3288	5238
ENSG00000149809	424	203	214	412	172	268
ENSG00000149823	2779	1240	1334	2910	1259	1954
ENSG00000149922	62	29	41	44	23	33
ENSG00000149923	3281	1564	1765	4075	1651	2712
ENSG00000149925	24601	11416	12566	27232	11564	17528
ENSG00000149926	136	47	69	127	47	70
ENSG00000149927	472	200	263	174	101	115
ENSG00000149929	3032	1383	1601	2515	1040	1685
ENSG00000149930	2877	1281	1413	2891	1265	1850
ENSG00000149932	1226	635	743	1187	544	786
ENSG00000149948	16	7	3	17	13	23
ENSG00000149968	0	0	0	0	0	0
ENSG00000149970	304	180	184	291	130	155
ENSG00000149972	0	0	0	1	0	0
ENSG00000150045	0	0	0	1	0	0
ENSG00000150048	0	0	0	0	0	0
ENSG00000150051	2	0	1	6	0	2
ENSG00000150054	78	43	46	61	40	39
ENSG00000150076	10	3	6	9	3	3
ENSG00000150093	2933	1586	1740	4135	1737	2653
ENSG00000150175	0	0	0	0	0	0
ENSG00000150201	0	0	0	0	0	0
ENSG00000150244	0	0	0	0	0	0
ENSG00000150261	0	0	0	0	0	0
ENSG00000150269	0	0	0	0	0	0
ENSG00000150275	0	0	0	0	0	0
ENSG00000150276	0	0	0	0	1	0
